"204","0035",9/21/2010,9/21/2010,9/21/2010 1:00:00 PM,9/21/2010 8:00:00 PM,8,20
"204","0034",9/17/2010,9/17/2010,9/17/2010 1:00:00 PM,9/17/2010 8:00:00 PM,8,20
"402","0516",9/15/2010,9/15/2010,9/15/2010 1:00:00 PM,9/15/2010 4:00:00 PM,8,20
"602","1107",9/15/2010,9/15/2010,9/15/2010 1:00:00 PM,9/15/2010 8:00:00 PM,8,20
"603","1205",9/15/2010,9/15/2010,9/15/2010 5:00:00 PM,9/15/2010 8:00:00 PM,8,20
"232","0213",9/14/2010,9/16/2010,9/14/2010 1:00:00 PM,9/16/2010 8:00:00 PM,8,20
"204","0033",9/9/2010,9/9/2010,9/9/2010 1:00:00 PM,9/9/2010 8:00:00 PM,8,20
"203","0029",9/8/2010,9/8/2010,9/8/2010 1:00:00 PM,9/8/2010 8:00:00 PM,8,20
"234","0246",9/8/2010,9/8/2010,9/8/2010 1:00:00 PM,9/8/2010 8:00:00 PM,8,20
"302","0369",9/8/2010,9/8/2010,9/8/2010 1:00:00 PM,9/8/2010 8:00:00 PM,8,20
"204","0032",9/3/2010,9/3/2010,9/3/2010 1:00:00 PM,9/3/2010 8:00:00 PM,8,20
"208","0091",9/3/2010,9/3/2010,9/3/2010 1:00:00 PM,9/3/2010 8:00:00 PM,8,20
"200","0001",9/2/2010,9/2/2010,9/2/2010 1:00:00 PM,9/2/2010 4:00:00 PM,8,20
"207","0073",9/2/2010,9/2/2010,9/2/2010 5:00:00 PM,9/2/2010 8:00:00 PM,8,20
"230","0161",9/1/2010,9/1/2010,9/1/2010 1:00:00 PM,9/1/2010 8:00:00 PM,8,20
"504","0757",9/1/2010,9/1/2010,9/1/2010 1:00:00 PM,9/1/2010 4:00:00 PM,8,20
"506","0834",9/1/2010,9/1/2010,9/1/2010 5:00:00 PM,9/1/2010 8:00:00 PM,8,20
"206","0068",8/31/2010,8/31/2010,8/31/2010 1:00:00 PM,8/31/2010 8:00:00 PM,8,20
"300","0263",8/30/2010,8/30/2010,8/30/2010 1:00:00 PM,8/30/2010 8:00:00 PM,8,20
"403","0522",8/30/2010,8/30/2010,8/30/2010 5:00:00 PM,8/30/2010 8:00:00 PM,8,20
"505","0769",8/30/2010,8/30/2010,8/30/2010 1:00:00 PM,8/30/2010 8:00:00 PM,8,20
"204","0037",8/27/2010,8/27/2010,8/27/2010 1:00:00 PM,8/27/2010 8:00:00 PM,8,20
"214","0157",8/27/2010,8/27/2010,8/27/2010 1:00:00 PM,8/27/2010 8:00:00 PM,8,20
"301","0320",8/27/2010,8/27/2010,8/27/2010 1:00:00 PM,8/27/2010 8:00:00 PM,8,20
"505","0768",8/27/2010,8/27/2010,8/27/2010 1:00:00 PM,8/27/2010 8:00:00 PM,8,20
"507","0845",8/27/2010,8/27/2010,8/27/2010 1:00:00 PM,8/27/2010 8:00:00 PM,8,20
"211","0132",8/26/2010,8/26/2010,8/26/2010 1:00:00 PM,8/26/2010 8:00:00 PM,8,20
"508","0892",8/26/2010,8/26/2010,8/26/2010 1:00:00 PM,8/26/2010 8:00:00 PM,8,20
